code_stop,line_salida,trayect_salida,time_salida,time
122,7,4,2:00,2:34
121,7,4,2:00,2:35
124,7,4,2:00,2:36
1139,7,4,2:00,2:36
126,7,4,2:00,2:37
125,7,4,2:00,2:38
128,7,4,2:00,2:39
130,7,4,2:00,2:39
131,7,4,2:00,2:42
132,7,4,2:00,2:43
133,7,4,2:00,2:43
134,7,4,2:00,2:44
135,7,4,2:00,2:45
136,7,4,2:00,2:46
137,7,4,2:00,2:47
139,7,3,4:05,3:56
140,7,3,4:05,4:09
141,7,3,4:05,4:10
9,7,3,4:05,4:11
10,7,3,4:05,4:11
11,7,3,4:05,4:14
14,7,3,4:05,4:16
15,7,3,4:05,4:17
16,7,3,4:05,4:18
913,7,3,4:05,4:20
20,7,3,4:05,4:21
21,7,3,4:05,4:22
23,7,3,4:05,4:24
633,7,3,4:05,4:25
667,7,3,4:05,4:25
25,7,3,4:05,4:26
26,7,3,4:05,4:27
28,7,3,4:05,4:28
29,7,3,4:05,4:28
30,7,3,4:05,4:29
31,7,3,4:05,4:31
32,7,3,4:05,4:31
33,7,3,4:05,4:32
34,7,3,4:05,4:33
35,7,3,4:05,4:34
36,7,3,4:05,4:36
37,7,3,4:05,4:36
38,7,3,4:05,4:37
39,7,3,4:05,4:38
1093,7,3,4:05,4:38
42,7,3,4:05,4:40
43,7,3,4:05,4:41
44,7,3,4:05,4:42
47,7,3,4:05,4:42
45,7,3,4:05,4:43
52,7,3,4:05,4:43
46,7,3,4:05,4:44
50,7,3,4:05,4:45
54,7,3,4:05,4:45
58,7,3,4:05,4:46
885,7,3,4:05,4:46
149,7,3,4:05,4:48
886,7,3,4:05,4:48
219,7,3,4:05,4:49
220,7,3,4:05,4:50
222,7,3,4:05,4:51
213,14,1,4:50,4:52
422,7,3,4:05,4:52
421,7,3,4:05,4:53
617,7,3,4:05,4:53
156,7,3,4:05,4:54
29,14,1,4:50,4:55
157,7,3,4:05,4:55
158,7,3,4:05,4:55
159,7,3,4:05,4:56
594,14,1,4:50,4:56
160,7,3,4:05,4:57
213,9,3,5:00,4:57
596,14,1,4:50,4:57
77,7,4,5:00,4:58
597,14,1,4:50,4:59
598,14,1,4:50,4:59
182,24,3,5:00,5:00
599,14,1,4:50,5:00
1121,7,4,5:00,5:00
29,9,3,5:00,5:01
78,7,4,5:00,5:01
600,14,1,4:50,5:01
601,14,1,4:50,5:01
79,7,4,5:00,5:02
595,9,3,5:00,5:02
602,14,1,4:50,5:02
1161,24,3,5:00,5:02
80,7,4,5:00,5:03
603,14,1,4:50,5:03
604,14,1,4:50,5:03
81,7,4,5:00,5:04
186,24,3,5:00,5:04
187,24,3,5:00,5:04
188,24,3,5:00,5:04
596,9,3,5:00,5:04
693,9,3,5:00,5:04
82,7,4,5:00,5:05
694,9,3,5:00,5:05
34,14,1,4:50,5:06
35,14,1,4:50,5:06
189,24,3,5:00,5:06
423,7,4,5:00,5:06
695,9,3,5:00,5:06
696,9,3,5:00,5:06
425,7,4,5:00,5:07
697,9,3,5:00,5:07
36,14,1,4:50,5:08
37,14,1,4:50,5:08
291,7,4,5:00,5:08
427,7,4,5:00,5:08
699,9,3,5:00,5:08
700,9,3,5:00,5:08
701,9,3,5:00,5:09
39,14,1,4:50,5:10
40,14,1,4:50,5:10
292,7,4,5:00,5:10
293,7,4,5:00,5:10
702,9,3,5:00,5:10
703,9,3,5:00,5:10
166,7,4,5:00,5:11
704,9,3,5:00,5:11
41,14,1,4:50,5:12
141,24,3,5:00,5:12
705,9,3,5:00,5:12
887,7,4,5:00,5:12
997,9,3,5:00,5:12
9,24,3,5:00,5:13
888,7,4,5:00,5:13
96,7,4,5:00,5:14
147,14,1,4:50,5:14
172,7,4,5:00,5:14
10,24,3,5:00,5:15
98,7,4,5:00,5:15
149,14,1,4:50,5:15
599,9,3,5:00,5:15
11,24,3,5:00,5:16
100,7,4,5:00,5:16
148,14,1,4:50,5:16
220,14,1,4:50,5:16
600,9,3,5:00,5:16
601,9,3,5:00,5:16
103,7,4,5:00,5:17
105,7,4,5:00,5:17
602,9,3,5:00,5:17
14,24,3,5:00,5:18
107,7,4,5:00,5:18
604,9,3,5:00,5:18
753,14,1,4:50,5:18
15,24,3,5:00,5:19
34,9,3,5:00,5:19
108,7,4,5:00,5:19
603,9,3,5:00,5:19
754,14,1,4:50,5:19
215,9,3,5:00,5:20
762,14,1,4:50,5:20
2337,14,1,4:50,5:20
17,24,3,5:00,5:21
109,7,4,5:00,5:21
605,9,3,5:00,5:21
110,7,4,5:00,5:22
139,7,3,5:35,5:22
606,9,3,5:00,5:22
1027,24,3,5:00,5:22
21,24,3,5:00,5:23
22,24,3,5:00,5:23
111,7,4,5:00,5:23
112,7,4,5:00,5:24
113,7,4,5:00,5:24
607,9,3,5:00,5:24
608,9,3,5:00,5:24
23,24,3,5:00,5:25
114,7,4,5:00,5:26
609,9,3,5:00,5:26
610,9,3,5:00,5:26
612,9,3,5:00,5:26
633,24,3,5:00,5:26
25,24,3,5:00,5:27
115,7,4,5:00,5:27
770,14,1,4:50,5:27
776,14,1,4:50,5:27
26,24,3,5:00,5:28
116,7,4,5:00,5:28
117,7,4,5:00,5:28
234,14,1,4:50,5:28
239,14,1,4:50,5:28
667,24,3,5:00,5:28
29,24,3,5:00,5:29
108,9,3,5:00,5:29
118,7,4,5:00,5:29
245,14,1,4:50,5:29
30,24,3,5:00,5:30
40,9,3,5:00,5:30
119,7,4,5:00,5:30
31,24,3,5:00,5:31
32,24,3,5:00,5:31
41,9,3,5:00,5:31
240,14,1,4:50,5:31
248,14,1,4:50,5:31
244,14,1,4:50,5:32
399,7,4,5:00,5:32
33,24,3,5:00,5:33
34,24,3,5:00,5:33
122,7,4,5:00,5:33
782,14,1,4:50,5:33
123,7,4,5:00,5:34
146,9,3,5:00,5:34
147,9,3,5:00,5:34
784,14,1,4:50,5:34
790,14,1,4:50,5:34
35,24,3,5:00,5:35
36,24,3,5:00,5:35
149,9,3,5:00,5:35
37,24,3,5:00,5:36
124,7,4,5:00,5:36
125,7,4,5:00,5:36
140,7,3,5:35,5:36
141,7,3,5:35,5:36
220,9,3,5:00,5:36
347,14,1,4:50,5:36
349,14,1,4:50,5:36
352,14,1,4:50,5:36
39,24,3,5:00,5:37
222,9,3,5:00,5:37
350,14,1,4:50,5:37
9,7,3,5:35,5:38
40,24,3,5:00,5:38
126,7,4,5:00,5:38
221,9,3,5:00,5:38
358,14,1,4:50,5:38
