rowid,line,trayect,time,mod
505,24,1,20:35,
506,7,3,21:30,
507,24,3,10:00,
508,1,3,10:38,
509,1,3,11:38,
510,6,1,12:40,
511,1,3,12:38,
512,24,1,13:05,
513,7,3,1:05,
514,7,3,5:35,
515,24,5,7:00,
516,1,1,7:50,
517,1,3,10:38,
518,24,3,12:00,
519,24,1,13:05,
520,7,1,14:15,
521,24,3,15:00,
522,7,1,18:15,
523,24,3,20:00,
524,24,1,21:05,
525,24,1,22:05,
526,24,3,7:00,
527,7,1,7:15,
528,24,1,7:35,
529,7,1,8:15,
530,24,5,9:00,
531,24,1,10:05,
532,7,1,10:15,
533,24,1,11:35,
534,24,5,12:30,
535,7,3,1:05,
536,7,3,4:05,
537,7,3,5:35,
538,7,3,6:30,
539,1,1,6:45,
540,24,3,7:00,
541,7,1,7:15,
542,24,1,7:35,
543,7,1,8:15,
544,1,3,8:38,
545,7,1,9:15,
546,6,1,9:30,
547,24,1,9:35,
548,7,1,10:15,
549,24,3,11:00,
550,7,1,11:15,
551,7,1,12:15,
552,24,5,12:30,
553,24,3,13:00,
554,7,1,13:15,
555,1,3,13:38,
556,24,3,14:00,
557,7,1,14:15,
558,24,5,14:30,
559,1,3,14:38,
560,7,1,18:15,
561,24,1,19:05,
562,7,1,19:15,
563,24,1,19:35,
564,7,1,20:15,
565,7,3,21:30,
566,7,3,23:05,
567,24,5,6:00,
568,6,1,6:30,
569,1,3,6:38,
570,1,3,7:38,
571,24,3,8:00,
572,24,3,9:00,
573,1,3,9:38,
574,24,5,10:30,
575,1,3,11:38,
576,6,1,12:05,
577,24,1,13:05,
578,7,3,1:05,
579,7,3,4:05,
580,7,3,5:35,
581,24,3,6:00,
582,6,1,6:30,
583,1,1,6:45,
584,24,3,7:00,
585,24,5,7:00,
586,1,1,7:50,
587,24,3,8:00,
588,7,1,8:15,
589,24,5,8:30,
590,24,5,9:00,
591,7,1,9:15,
592,6,1,9:30,
593,24,1,9:35,
594,24,1,10:05,
595,24,3,10:00,
596,7,1,10:15,
597,1,3,10:38,
598,24,1,11:35,
599,6,1,12:05,
600,7,1,12:15,
601,6,1,12:40,
602,24,5,12:30,
603,24,1,13:05,
604,24,3,13:00,
605,1,3,13:38,
606,24,1,14:05,
607,24,3,14:00,
608,7,1,14:15,
609,24,5,14:30,
610,24,1,17:35,
611,24,3,18:00,
612,7,1,18:15,
613,24,5,18:30,
614,24,1,19:35,
615,24,3,20:00,
616,7,3,21:30,
617,7,3,23:05,
618,24,3,5:00,
619,24,5,6:00,
620,24,1,7:35,
621,1,3,7:38,
622,1,5,8:00,
623,24,3,9:00,
624,1,3,9:38,
625,24,5,10:30,
626,1,3,11:38,
627,24,3,12:00,
628,1,3,12:38,
629,7,3,1:05,
630,24,3,5:00,
631,7,3,5:35,
632,24,5,6:00,
633,7,3,6:30,
634,6,1,6:30,
635,48,1,7:00,
636,1,1,6:45,
637,48,1,7:15,
638,24,3,7:00,
639,24,5,7:00,
640,24,7,6:55,
641,7,1,7:15,
642,24,1,7:35,
643,1,1,7:50,
644,1,3,7:38,
645,24,5,7:45,
646,24,3,8:00,
647,24,7,7:50,
648,7,1,8:15,
649,24,5,8:30,
650,1,3,8:38,
651,24,5,9:00,
652,7,1,9:15,
653,6,1,9:30,
654,24,1,9:35,
655,24,1,10:05,
656,7,1,10:15,
657,24,5,10:30,
658,1,3,10:38,
659,24,3,11:00,
660,7,1,11:15,
661,24,1,11:35,
662,1,3,11:38,
663,6,1,12:05,
664,24,3,12:00,
665,7,1,12:15,
666,48,1,12:40,
667,6,1,12:40,
668,24,5,12:30,
669,24,1,13:05,
670,24,3,13:00,
671,7,1,13:15,
672,1,3,13:38,
673,24,1,14:05,
674,24,3,14:00,
675,7,1,14:15,
676,24,5,14:30,
677,1,3,14:38,
678,24,3,15:00,
679,24,1,17:35,
680,24,3,18:00,
681,7,1,18:15,
682,24,5,18:30,
683,24,1,19:05,
684,7,1,19:15,
685,24,1,19:35,
686,24,3,20:00,
687,7,1,20:15,
688,24,1,20:35,
689,24,1,21:05,
690,24,1,22:05,
691,7,3,23:05,
692,1,3,6:38,
693,1,5,8:00,
694,24,3,9:00,
695,1,3,9:38,
696,24,3,10:00,
697,1,3,12:38,
698,7,3,1:05,
699,7,3,4:05,
700,24,3,5:00,
701,7,3,5:35,
702,24,5,6:00,
703,24,3,6:00,
704,7,3,6:30,
705,6,1,6:30,
706,48,1,7:00,
707,1,1,6:45,
708,24,3,7:00,
709,48,1,7:15,
710,24,7,6:55,
711,7,1,7:15,
712,24,1,7:35,
713,1,1,7:50,
714,24,5,7:45,
715,1,5,8:00,
716,24,7,7:50,
717,7,1,8:15,
718,24,5,8:30,
719,1,3,8:38,
720,7,1,9:15,
721,6,1,9:30,
722,24,1,9:35,
723,24,1,10:05,
724,7,1,10:15,
725,24,5,10:30,
726,1,3,10:38,
727,24,3,11:00,
728,7,1,11:15,
729,24,1,11:35,
730,1,3,11:38,
731,6,1,12:05,
732,24,3,12:00,
733,7,1,12:15,
734,48,1,12:40,
735,24,3,13:00,
736,7,1,13:15,
737,1,3,13:38,
738,24,1,14:05,
739,24,3,14:00,
740,7,1,14:15,
741,24,5,14:30,
742,1,3,14:38,
743,24,3,15:00,
744,24,1,15:05,
745,24,1,17:35,
746,24,3,18:00,
747,7,1,18:15,
748,24,5,18:30,
749,24,1,19:05,
750,7,1,19:15,
751,24,1,19:35,
752,24,3,20:00,
753,7,1,20:15,
754,24,1,20:35,
755,24,1,21:05,
756,7,3,21:30,
757,7,3,23:05,
758,1,3,6:38,
759,24,3,8:00,
760,24,5,9:00,
761,1,3,9:38,
762,24,3,10:00,
763,24,5,12:30,
764,6,1,12:40,
765,1,3,12:38,
766,7,3,5:35,
767,1,1,6:45,
768,24,5,7:00,
769,24,3,7:00,
770,7,1,7:15,
771,1,1,7:50,
772,1,3,7:38,
773,24,5,7:45,
774,1,3,8:38,
775,24,5,9:00,
